Name,Education
Jeff Bezos,3
Elon Musk,3
Bernard Arnault & family,3
Bill Gates,2
Mark Zuckerberg,2
Warren Buffett,4
Larry Ellison,2
Larry Page,4
Sergey Brin,4
Mukesh Ambani,3
Amancio Ortega,
Francoise Bettencourt Meyers & family,
Zhong Shanshan,
Steve Ballmer,3
Ma Huateng,3
Carlos Slim Helu & family,3
Alice Walton,3
Jim Walton,3
Rob Walton,5
Michael Bloomberg,4
Colin Zheng Huang,4
MacKenzie Scott,3
Daniel Gilbert,3
Gautam Adani & family,
Phil Knight & family,4
Jack Ma,3
Charles Koch,3
Julia Koch & family,
Masayoshi Son,3
Michael Dell,2
Tadashi Yanai & family,3
François Pinault & family,0
David Thomson & family,4
Beate Heister & Karl Albrecht Jr.,
Wang Wei,
Miriam Adelson,3
He Xiangjian,
Dieter Schwarz,
Zhang Yiming,3
Giovanni Ferrero,
Alain Wertheimer,
Gerard Wertheimer,
Li Ka-shing,0
Qin Yinglin & family,
William Lei Ding,3
Len Blavatnik,4
Lee Shau Kee,
Jacqueline Mars,3
John Mars,3
Yang Huiyan & family,3
Alexey Mordashov & family,3
Robin Zeng,5
Hui Ka Yan,3
Susanne Klatten,4
Vladimir Potanin,3
Dietrich Mateschitz,4
Pang Kang,
Klaus-Michael Kuehne,
Vladimir Lisin,5
Wang Xing,4
German Larrea Mota Velasco & family,
Leonardo Del Vecchio & family,
Takemitsu Takizaki,
Leonard Lauder,3
Thomas Peterffy,2
Vagit Alekperov,3
Leonid Mikhelson,3
Jim Simons,3
Jiang Rensheng & family,3
Gina Rinehart,
Rupert Murdoch & family,3
Shiv Nadar,3
Zhang Zhidong,3
Iris Fontbona & family,
Lei Jun,3
Zhang Yong,
Richard Qiangdong Liu,3
Gennady Timchenko,3
Stephen Schwarzman,4
Goh Cheng Liang,
Stefan Quandt,3
Li Xiting,3
Pierre Omidyar,3
Stefan Persson,3
Abigail Johnson,4
R. Budi Hartono,
Andrew Forrest,3
Ray Dalio,4
Michael Hartono,
Li Shufu,4
Zhong Huijuan,4
Xu Hang,4
Lui Che Woo & family,
Emmanuel Besnier,
Laurene Powell Jobs & family,4
Eric Schmidt,3
Sun Piaoyang,3
"Theo Albrecht, Jr. & family",
Alisher Usmanov,4
Robert Pera,3
Wu Yajun,3
Fan Hongwei & family,
Dhanin Chearavanont,
Peter Woo,4
Chen Bang,4
Andrey Melnichenko,4
Dustin Moskovitz,2
Su Hua,3
Donald Newhouse,2
Petr Kellner,3
Lee Man Tat,
Pavel Durov,4
James Ratcliffe,
Jorge Paulo Lemann & family,3
Reinhold Wuerth & family,
Charlene de Carvalho-Heineken & family,3
Radhakishan Damani,
Wang Chuanfu,4
Steve Cohen,3
Ken Griffin,3
Chen Zhiping,4
"Ernest Garcia, II.",3
Uday Kotak,3
Carl Icahn,3
Suleiman Kerimov & family,3
"Thomas Frist, Jr. & family",3
Lukas Walton,3
Mikhail Fridman,3
Wei Jianjun & family,3
Zuo Hui,
Zhou Qunfei & family,
Donald Bren,3
Hinduja brothers,
Lakshmi Mittal,3
Georg Schaeffler,
Eric Yuan & family,4
Wang Jianlin,3
Kwong Siu-hing,
Robin Li,3
Pallonji Mistry,
Eduardo Saverin,3
Roman Abramovich,3
David Tepper,4
Gong Hongjia & family,3
Mike Cannon-Brookes,3
"John Menard, Jr.",3
Seo Jung-jin,3
Cheng Yixiao,
Liang Wengen,3
Scott Farquhar,3
Finn Rausing,
Jorn Rausing,
Kirsten Rausing,
Brian Chesky,3
Joseph Lau,
David Duffield,3
Charoen Sirivadhanabhakdi,
Kim Jung-ju,5
Robert & Philip Ng,
Zhang Bangxin,4
Anders Holch Povlsen,
Wang Wenyin,
Wang Liping & family,
Tatyana Bakalchuk,3
Michael Platt,3
Huang Shilin,3
Ricardo Salinas Pliego & family,4
Kumar Birla,4
Dang Yanbao,4
Cyrus Poonawalla,3
Robert Kuok,3
Hank & Doug Meijer,
Jack Dorsey,2
Lu Zhongfang,
Ma Jianrong & family,
Zhang Tao,
Nathan Blecharczyk,3
John Doerr,4
Joe Gebbia,3
Forrest Li,3
Yu Renrong,3
Liu Yonghao & family,
Gordon Moore,5
Jeff Yass,3
Bobby Murphy,3
Patrick Drahi,
Jensen Huang,
Alexander Otto,4
Cen Junda,5
Joseph Tsai,3
Aliko Dangote,3
Marcel Herrmann Telles,3
Mikhail Prokhorov,3
Jorge Moll Filho & family,4
Viktor Rashnikov,3
Harry Triguboff,3
Leonid Fedun & family,4
Eyal Ofer,
Evan Spiegel,3
Luis Carlos Sarmiento,3
Andreas Struengmann & family,5
Thomas Struengmann & family,4
Rodolphe Saadé & family,3
Dilip Shanghvi,3
Tom & Judy Love,
Anthony Pratt,3
Wang Laisheng,
Gianluigi & Rafaela Aponte,
Wang Laichun,4
Chen Jianhua,3
Leng Youbin,3
Charles Schwab,4
Li Zhenguo & family,
Sunil Mittal & family,3
Melker Schorling & family,4
Cai Kui,3
John Fredriksen,
Qi Shi & family,4
"Chase Coleman, III.",3
Hui Wing Mau,4
"Edward Johnson, III.",3
Liu Hanyuan,3
Larry Xiangdong Chen,5
Philip Anschutz,3
Dietmar Hopp & family,4
German Khan,3
Li Ge,5
Jay Chaudhry,
Eric Wittouck,
Carl Cook,3
Jan Koum,2
"Herbert Kohler, Jr. & family",3
Tobi Lutke,
James Dyson,
Mat Ishbia,3
Savitri Jindal & family,
Friedhelm Loh,
Iskander Makhmudov,3
Stefano Pessina,3
Quek Leng Chan,3
Israel Englander,3
Charles Ergen,3
Jim Pattison,
Yao Liangsong,
David Geffen,2
Yeung Kin-man,
Ding Shizhong & family,4
Harold Hamm & family,1
Jim Kennedy,3
Blair Parry-Okeden,3
Ding Shijia,
Kim Beom-su,3
Ian & Richard Livingstone,
Sun Hongbin,4
Alberto Bailleres Gonzalez & family,
Lam Wai-ying,
Massimiliana Landini Aleotti & family,
Lu Xiangyang,
Wolfgang Marguerre & family,
David Sun,3
John Tu,3
Guillaume Pousaz,
Viktor Vekselberg,3
Jerry Jones,3
Michael Otto,5
Steven Rales,4
Sarath Ratanavadi,3
Tse Ping,
Chan Tan Ching-fen,
David Cheriton,3
Xavier Niel,
August von Finck,
Zong Qinghou,
Benu Gopal Bangur,3
Sam Bankman-Fried,3
Cheng Xue,
Graeme Hart,
Kjeld Kirk Kristiansen,3
Sofie Kirk Kristiansen,
Thomas Kirk Kristiansen,
Lin Bin,4
Liu Jincheng & family,5
Shigenobu Nagamori,
Carlos Alberto Sicupira & family,3
Agnete Kirk Thinggaard,
Anthony von Mandl,3
Xu Shihui,
Ernesto Bertarelli,3
Leon Black,3
Azim Premji,3
Andrei Skoch & family,3
George Soros,3
Zheng Shuliang & family,
Marc Benioff,3
Kuldip Singh & Gurbachan Singh Dhingra,3
Ann Walton Kroenke,3
Bubba Cathy,3
Dan Cathy,3
Jay Y. Lee,4
Pan Dong,4
Hasso Plattner & family,4
Nassef Sawiris,3
Kushal Pal Singh,3
Stanley Kroenke,4
Niels Peter Louis-Hansen,
Alain Merieux & family,
Andreas von Bechtolsheim & family,4
Diane Hendricks,1
Shahid Khan,3
Nicky Oppenheimer & family,3
Anthony Bamford & family,3
Andrew Beal,2
Dmitry Bukhman,4
Igor Bukhman,4
Takahisa Takahara,
Kei Hoi Pang,
Alexei Kuzmichev,3
John Malone,5
Marijke Mars,3
Pamela Mars,3
Valerie Mars,4
Victoria Mars,4
Giorgio Armani,2
Frederik Paulsen,
David Reuben,
Simon Reuben,2
Alexander Abramov,3
Rinat Akhmetov,3
Silvio Berlusconi & family,5
John Grayken,4
David Green & family,1
George Roberts,3
Zhao Yan,4
Nancy Walton Laurie,3
Pei Zhenhua,
Ruan Liping,
Ruan Xueping,
Patrick Soon-Shiong,4
Antonia Ax:son Johnson & family,4
"Ernest Garcia, III.",3
George Lucas,3
Vicky Safra,
Zhang Jindong,3
Laurent Dassault,3
Thierry Dassault,
Marie-Hélène Habert,4
Henry Kravis,3
Lai Meisong,
Sandra Ortega Mera,
Pham Nhat Vuong,
David Shaw,5
Rocco Commisso,3
Michael Kadoorie,
Bernard Marcus,3
Manuel Villar,
Christy Walton,
Wang Zhenhua,4
Carl Bennet,4
Rahel Blocher,
Johann Graf,
Ralph Lauren,2
Li Hua,
Magdalena Martullo-Blocher,
Stewart and Lynda Resnick,
Johann Rupert & family,
Safra siblings,
Anthony Wood,3
Gang Ye,3
Igor Altushkin,3
Bajaj brothers,
Juan Francisco Beckmann Vidal & family,
Alexandre Behring,4
Vincent Bolloré & family,3
Gustaf Douglas,4
Terry Gou,3
"Paul Tudor Jones, II.",3
Richard Kinder,3
Ludwig Merckle,
Stephen Ross,4
Eli Broad,3
Jim Davis & family,3
Guo Guangchang,3
Robert Kraft,3
Murali Divi & family,
Huang Chulong,
Li Jianquan & family,
Shi Yonghong & family,
Wee Cho Yaw,
Erich Wesjohann & family,
Aloys Wobben,3
Micky Arison,2
Jean-Michel Besnier,
Marie Besnier Beauvalot,
Kwon Hyuk-bin,3
Li Haiyan,
Fredrik Lundberg,3
Hiroshi Mikitani,4
Dmitry Rybolovlev,5
Reinhold Schmieding,3
Francis Choi,
Bruce Kovner,3
Wang Wenjing,3
Zeng Fangqin,
Brian Armstrong,3
Chu Mang Yee & family,
Denise Coates,
Gopikishan Damani,
James Goodnight,3
Antti Herlin,
Liu Yongxing,
Sri Prakash Lohia,3
John Overdeck,3
Prajogo Pangestu,
Horst Julius Pudwill,4
David Siegel,2
Ronda Stryker,3
Georg Stumpf,
Pauline MacMillan Keinath,
Wang Yusuo & family,3
Dennis Washington,1
Rahul Bajaj,4
Ashwin Dani & family,3
Andreas Halvorsen,4
Andrei Kozitsyn,3
Axel Oberwelland,
Shi Yuzhu,4
Tsai Eng-meng,
Murat Ulker,3
Wang Junlin,
Wang Ning & family,
You Xiaoping,
Arthur Blank,3
James Chambers,3
Jiang Bin,3
Jason Jiang,3
Mitchell Rales,3
Katharine Rayner,
Margaretta Taylor,
Stef Wertheimer & family,
Mike Adenuga,4
Charles Dolan & family,2
Marcos Galperin,4
Huang Li,4
Law Kar Po,
Li Wa,3
Idan Ofer,
Qian Dongqi & family,4
Odd Reitan & family,
Henry Samueli,3
Les Wexner & family,3
Dannine Avara,
Juergen Blickle,
Robert Brockman,3
Mong-Koo Chung,3
Dulce Pugliese de Godoy Bueno,5
Daniel Dines,3
Scott Duncan,3
Judy Faulkner,3
Guenther Fielmann & family,
Milane Frantz,4
Frits Goldschmeding,5
Andrei Guriev & family,4
Jane Lauder,3
Martin Lorentzon,
Isaac Perlmutter,
Jeff Skoll,4
Robert F. Smith,4
John A. Sobrato & family,3
Ronald Wanek,1
Randa Duncan Williams,3
Hansjoerg Wyss,4
Chen Fashu,3
Chen Rui,
Christopher Hohn,4
Lin Jianhua & family,
Maria Asuncion Aramburuzabala & family,3
Chan Laiwa & family,5
George Kaiser,3
Ananda Krishnan,4
Douglas Leone,4
Li Chunan,
Li Ping,
William Li,
Augusto & Giorgio Perfetti,
Meg Whitman,4
Neil Bluhm,5
Andrew Currie,3
Tom Gores,3
Michel Leclercq & family,
Michael Moritz,3
Nicolas Puech,
John Reece,3
Emanuele (Lino) Saputo & family,1
Fred Smith,
Teh Hong Piow,3
Rene Benko,
Jack Dangermond,3
Stanley Druckenmiller,3
Tamara Gustavson,3
Jian Jun,4
Kwee brothers,
Clive Calder,
Hasmukh Chudgar & family,
Dagmar Dolby & family,3
Dong Wei,
Ken Fisher,3
Ivan Glasenberg,4
He Xiaopeng,
Sumet Jiaravanon,
Karel Komarek,3
Ronald Lauder,3
Mu Rongjun,3
J. Christopher Reyes,3
Jude Reyes,3
Kjell Inge Rokke,
"Edward Roski, Jr.",3
Alexandra Schoerghuber,
Shu Ping,
Christoph Zeller,
An Kang,3
Rainer Blickle,
Jaran Chiaravanont,
Alceu Elias Feldmann,
Montri Jiaravanont,
"Henry Nicholas, III.",3
Terrence Pegula,3
Carrie Perrodo & family,
Harry Stine,
Pyotr Aven,5
Kapil & Rahul Bhatia,3
Cao Renxian,
Barry Lam,3
Carlos Rodriguez-Pastor,4
Shen Guojun,4
Luiza Helena Trajano,
Yao Zhenhua & family,
Yu Yong,
Sam Zell,3
John Brown,3
Giuseppe De'Longhi & family,3
Frank Lowy,
Joe Mansueto,3
Akio Nitori,
Gary Rollins,3
Ruan Hongliang & family,
Teddy Sagi,
Neil Shen,3
David Velez,4
Wong Man Li,
Robert Bass,4
Pierre Chen,3
Mahendra Choksi & family,3
Gustavo Denegri,
Reed Hastings,3
Michael Herz,
Wolfgang Herz,
Patrick Lee,
Lee Yeow Chor & Yeow Seng,
Theo Mueller,
Wu Guanjiang & family,
Bernard Broermann,4
Jason Chang,3
Joshua Harris,4
Vikram Lal & family,
Lin Xiucheng & family,3
Pankaj Patel,3
"Enrique Razon, Jr.",
"Walter Scott, Jr. & family",3
Charles Simonyi,5
Kate Wang,4
Daniel Ziff,3
Dirk Ziff,3
Robert Ziff,5
Stephen Bisciotti,3
Chen Dongsheng,
Charles B. Johnson,3
Marc Ladreit de Lacharriere,
Joe Lewis,
Lin Li,3
Karen Pritzker,3
Abdulsamad Rabiu,
Mark Scheinberg,2
Howard Schultz,3
Yasumitsu Shigeta,2
Thomas Siebel,3
Peter Thiel,3
Chip Wilson,3
Zhang Fan,
Pierre Bellon & family,
Richard Branson,0
Huang Yi,3
Bidzina Ivanishvili,
"Edward Johnson, IV.",3
Elizabeth Johnson,3
Ted Lerner & family,3
Lin Shu-hong,3
Yuri Milner,3
Issad Rebrab & family,
Thomas Schmidheiny,5
Chairul Tanjung,5
Alan Trefler,3
Radovan Vitek,4
Frank Wang,3
Wang Xicheng & family,
Wang Zhendong,3
"John, Alan & Bruce Wilson",
M.A. Yusuff Ali,
Maria Fernanda Amorim & family,
Dona Bertarelli,
Hong Jie,
Nathan Kirsh,3
Ken Langone,3
Michael Pieper,4
Richard Schulze,1
Eric Smidt,
Tim Sweeney,
Tang Shing-bor,
Oleg Tinkov,3
Mark Walter,3
Wong Luen Hei,
Zhou Bajin,
Patrizio Bertelli,4
Bert Beveridge,3
Martin & Olivier Bouygues,
Chen Lip Keong,5
Dong Fan,3
Daniel Ek,
Tilman Fertitta,2
Luis Frias,
Peter Gassner,3
Vladimir Kim,
Li Weiguo,
Denis O'Brien,4
Miuccia Prada,5
"Robert Rich, Jr.",4
Abhay Vakil & family,3
Paul-Heinz Wesjohann & family,
Ron Baron,3
Andre Esteves,3
Jonathan Gray,3
Hu Baifan,3
Viatcheslav Kantor,5
Min Kao & family,3
Friedrich Knapp,
Richard Li,2
Rudolf Maag,4
Miao Hangen,
Sami Mnaymneh,3
Igor Olenicoff,3
Sergei Popov,3
Thomas Pritzker,3
"Julian Robertson, Jr.",3
Tony Tamer,
Zhu Baoguo & family,3
Shari Arison,2
Orlando Bravo,3
Garrett Camp,4
Nick Caporella,
Mark Cuban,3
Yakir Gabay,
Erman Ilicak,
Gustav Magnar Witzoe,
Michael Minhong Yu,3
Zhang Daocai,
Stéphane Bancel,4
Ralph Dommermuth,
Thomas Hagen,3
Pansy Ho,3
Rakesh Jhunjhunwala,3
Lee Yin Yee,
Eric Lefkofsky,3
Edwin Leong,
Pawan Munjal & family,
Antony Ressler,4
Paul Singer,5
Kerry Stokes,
Steven Udvar-Hazy,3
Takao Yasuda,3
Ye Chenghai & family,3
Alain Bouchard,
Rick Caruso,5
Scott Cook,4
Barry Diller,2
Traudl Engelhorn & family,
Fang Wei,
Fu Liquan & family,3
Luca Garavoglia,3
Tom Golisano,3
Peter Hargreaves,
Bertil Hult,
Ray Lee Hunt,3
James Irving,
Martin Lau,4
Li Li,3
Liu Fangyi,
Luo Liguo & family,
Pan Laican,
Juan Roig,
Leonard Stern,4
Thomas Straumann,
Wang Yanqing & family,
Ken Xie,4
Xue Hua,3
Steven Meng Yang & family,3
Margot Birmingham Perot,3
David Bonderman,5
Matthew Calkins,3
Cho Tak Wong,
Piero Ferrari,
Dan Friedkin,3
Laurence Graff & family,
Martin Haefner,
Hong Ra-hee,3
Ji Qi,
"Rupert Johnson, Jr.",3
Daniel Kretinsky,4
William Lauder,
Janice McNair,3
John Morris,3
Gabe Newell,2
Katharina Otto-Bernstein,
Julio Ponce Lerou,
Jon Stryker,3
Suh Kyung-bae,4
Xu Jingren,
Samuel Yin,3
Walter P.J. Droege,
Du Jiangtao & family,4
Vinod & Anil Rai Gupta,
Masatoshi Ito,
Igor Kesaev,3
Koon Poh Keong,3
Paul Xiaoming Lee & family,4
Li Xiang,
Melissa Ma,
Kiran Mazu5ar-Shaw,3
Gwendolyn Sontheim Meyer,
Akira Mori & family,
Georg Nemetschek & family,
Masahiro Noda,3
Ajay Piramal,3
Qiu Guanghe & family,
Trevor Rees-Jones,3
Ira Rennert,3
Marc Rowan,3
Ugur Sahin,
Michal Solowow,
Udo & Harald Tschira,
Wu Jianshu,
Ye Xiaoping,5
Zhou Hongyi,4
Che Jianxing,
Beatriz Davila de Santo Domingo,
Rafael Del Pino,4
Du Weimin,4
Rakesh Gangwal,3
Paul Gauselmann & family,
Jeff Greene,4
Johnelle Hunt,2
Jin Baofang,3
Kuan Kam Hon & family,
"Stephen Mandel, Jr.",3
Gilles Martin,3
Masahiro Miki,3
Dan Olsson,
Robert Rowling,5
Erik Selin,
Mark Shoen,
Ben Silbermann,3
Maximilian Viessmann,
Wang Linpeng,
Wu Zhigang & family,
Yi Zheng,3
Zhang Wenzhong,
Euisun Chung,3
Daniel D'Aniello,4
Oleg Deripaska,3
Sergey Dmitriev,4
Feng Hailiang,4
John Gandel,5
Gao Dekang & family,4
Jaime Gilinski Bacal,4
Sergei Gordeev,3
Jeff Green,
"Amos Hostetter, Jr.",3
Kuok Khoon Hong,
Lai Jianping,
Aerin Lauder,3
Hans Georg Naeder,
Maren Otto,
Clive Palmer,
Karsanbhai Patel,
Qiu Jianping & family,4
Wolfgang Reimann,
Matthias Reimann-Andersen,
Stefan Reimann-Andersen,
Renate Reimann-Haas,
Dirk Rossmann & family,
Shaul Shani,
Song Fei,
Donald Sterling,3
Ivar Tollefsen,
Don Vultaggio & family,1
Nusli Wadia,
Zhang Jin,4
Zhu Gongshan,
Peter Gilgan,
Marian Ilitch,1
Kong Jian Min,3
Li Liangbin,
Li Yongxin & family,3
Mary Alice Dorrance Malone,3
Michael Milken,3
Ronald Perelman,3
Candido Pinheiro Koren de Lima,
J. Joe Ricketts & family,3
Paolo & Gianfelice Mario Rocca,"Certificate, Harvard Business School"
Jeff Rothschild,3
David Rubenstein,3
Maria-Elisabeth Schaeffler-Thumann,
Steven Spielberg,3
Barry Sternlicht,3
Mark Stevens,4
David Steward,3
Vincent Viola,5
Todd Wanek,
Wang Roger,3
Russ Weiner,3
Herbert Wertheim,3
Xu Shugen,
Anil Agarwal & family,
Majid Al Futtaim & family,
Leonid Boguslavsky,4
"Austen Cargill, II.",5
"James Cargill, II.",
Chu Lam Yiu,
Steve Conine,3
Hu Kaijun,
S. Curtis Johnson,3
Helen Johnson-Leipold,3
Daryl Katz,3
Peter Kellogg,3
Samuel Tak Lee,4
Li Hongxin & family,
Marianne Liebmann,3
Winifred J. Marquart,2
Daniel Och,3
Anthony Pritzker,3
Rodger Riney & family,3
Niraj Shah,3
Lynsi Snyder,
Jerzy Starak,
Michael Tojner,4
Richard Tsai,4
Ty Warner,2
Yang Shaopeng,
Yuan Liping,
Zhang Hongwei,3
Andrej Babis,4
Shyam & Hari Bhartia,
Hubert Burda,3
Chuchat Petaumpai & Daonapa Petampai,3
Charles Cohen,5
David Filo,4
Sergei Galitsky,3
Alessandra Garavoglia,3
Franco Bittar Garcia,
Martha Ingram & family,3
H. Fisk Johnson,3
Li Guoqiang,
Lim Wee Chai,4
Liu Xiaodong,
Daniel Loeb,3
Jim McKelvey,3
Apoorva Mehta,3
N.R. Narayana Murthy,4
John Paulson,4
J.B. Pritzker,3
Michael Rubin,2
Arnout Schuijff,
Thomas Secunda,3
Vivek Chaand Sehgal,3
E. Joe Shoen,4
Leena Tewari,4
Julia Thiele-Schuerhoff,
Romesh T. Wadhwani,5
Wu Shaoxun,
Ye Guofu,
Denise York & family,
Zhou Jianping,
Mohed Altrad,
